Temperature,Humidity,Wind_Speed,Weather_Condition,Recommended_Activity
0.0,75.0,5.0,Snow,Indoor Activities
26.0,62.0,3.0,Clear,Walking / Cycling / Outdoor Sports
14.0,80.0,4.0,Clouds,Walking / Photography
7.0,92.0,8.5,Rain,Indoor Games / Movies
-3.0,73.0,6.0,Snow,Indoor Activities
29.0,57.0,2.5,Clear,Outdoor Sports
16.0,72.0,3.5,Clouds,Light Outdoor Activity
8.0,88.0,7.5,Drizzle,Walking / Indoor Games
-4.0,69.0,8.0,Snow,Indoor Activities
23.0,66.0,3.0,Clear,Walking / Cycling / Outdoor Sports
10.0,83.0,5.0,Rain,Indoor Activities
1.0,79.0,4.5,Snow,Indoor Activities
31.0,54.0,2.0,Clear,Outdoor Sports
17.0,75.0,4.0,Clouds,Light Outdoor Activity
5.0,91.0,7.0,Rain,Indoor Games / Movies
-2.0,74.0,6.5,Snow,Indoor Activities
25.0,64.0,3.5,Clear,Walking / Cycling / Outdoor Sports
13.0,78.0,3.0,Clouds,Walking / Photography
3.0,90.0,8.0,Drizzle,Walking / Indoor Games
-7.0,65.0,7.0,Snow,Indoor Activities
28.0,61.0,2.0,Clear,Outdoor Sports
20.0,70.0,4.5,Clouds,Light Outdoor Activity
9.0,86.0,6.0,Rain,Indoor Activities
0.0,77.0,5.0,Snow,Indoor Activities
24.0,64.0,3.0,Clear,Walking / Cycling / Outdoor Sports
11.0,81.0,4.0,Clouds,Walking / Photography
6.0,93.0,8.5,Rain,Indoor Games / Movies
-5.0,71.0,6.0,Snow,Indoor Activities
30.0,55.0,2.5,Clear,Outdoor Sports
18.0,74.0,3.5,Clouds,Light Outdoor Activity
7.0,89.0,7.5,Drizzle,Walking / Indoor Games
-6.0,68.0,8.0,Snow,Indoor Activities
22.0,68.0,3.0,Clear,Walking / Cycling / Outdoor Sports
12.0,82.0,5.0,Rain,Indoor Activities
2.0,76.0,4.5,Snow,Indoor Activities
32.0,52.0,2.0,Clear,Outdoor Sports
19.0,72.0,4.0,Clouds,Light Outdoor Activity
10.0,88.0,7.0,Rain,Indoor Games / Movies
-1.0,73.0,6.5,Snow,Indoor Activities
26.0,63.0,3.5,Clear,Walking / Cycling / Outdoor Sports
14.0,79.0,3.0,Clouds,Walking / Photography
5.0,90.0,8.0,Drizzle,Walking / Indoor Games
-4.0,70.0,7.0,Snow,Indoor Activities
29.0,58.0,2.0,Clear,Outdoor Sports
21.0,71.0,4.5,Clouds,Light Outdoor Activity
8.0,84.0,6.0,Rain,Indoor Activities
-2.0,75.0,5.0,Snow,Indoor Activities
25.0,65.0,3.0,Clear,Walking / Cycling / Outdoor Sports
15.0,80.0,4.0,Clouds,Walking / Photography
6.0,92.0,8.5,Rain,Indoor Games / Movies
-5.0,72.0,6.0,Snow,Indoor Activities
30.0,56.0,2.5,Clear,Outdoor Sports
17.0,73.0,3.5,Clouds,Light Outdoor Activity
9.0,87.0,7.5,Drizzle,Walking / Indoor Games
-3.0,69.0,8.0,Snow,Indoor Activities
24.0,66.0,3.0,Clear,Walking / Cycling / Outdoor Sports
13.0,83.0,5.0,Rain,Indoor Activities
1.0,78.0,4.5,Snow,Indoor Activities
31.0,53.0,2.0,Clear,Outdoor Sports
18.0,76.0,4.0,Clouds,Light Outdoor Activity
4.0,90.0,7.0,Rain,Indoor Games / Movies
-6.0,67.0,6.5,Snow,Indoor Activities
27.0,60.0,3.5,Clear,Walking / Cycling / Outdoor Sports
16.0,77.0,3.0,Clouds,Walking / Photography
7.0,91.0,8.0,Drizzle,Walking / Indoor Games
-7.0,66.0,7.0,Snow,Indoor Activities
28.0,59.0,2.0,Clear,Outdoor Sports
20.0,72.0,4.5,Clouds,Light Outdoor Activity
10.0,85.0,6.0,Rain,Indoor Activities
0.0,76.0,5.0,Snow,Indoor Activities
25.0,64.0,3.0,Clear,Walking / Cycling / Outdoor Sports
12.0,80.0,4.0,Clouds,Walking / Photography
5.0,93.0,8.5,Rain,Indoor Games / Movies
-4.0,71.0,6.0,Snow,Indoor Activities
29.0,57.0,2.5,Clear,Outdoor Sports
19.0,74.0,3.5,Clouds,Light Outdoor Activity
8.0,88.0,7.5,Drizzle,Walking / Indoor Games
-5.0,70.0,8.0,Snow,Indoor Activities
23.0,67.0,3.0,Clear,Walking / Cycling / Outdoor Sports
11.0,82.0,5.0,Rain,Indoor Activities
2.0,77.0,4.5,Snow,Indoor Activities
32.0,54.0,2.0,Clear,Outdoor Sports
17.0,75.0,4.0,Clouds,Light Outdoor Activity
6.0,90.0,7.0,Rain,Indoor Games / Movies
-2.0,73.0,6.5,Snow,Indoor Activities
26.0,62.0,3.5,Clear,Walking / Cycling / Outdoor Sports
14.0,79.0,3.0,Clouds,Walking / Photography
4.0,91.0,8.0,Drizzle,Walking / Indoor Games
-6.0,68.0,7.0,Snow,Indoor Activities
28.0,60.0,2.0,Clear,Outdoor Sports
21.0,70.0,4.5,Clouds,Light Outdoor Activity
9.0,86.0,6.0,Rain,Indoor Activities
-1.0,75.0,5.0,Snow,Indoor Activities
24.0,65.0,3.0,Clear,Walking / Cycling / Outdoor Sports
15.0,81.0,4.0,Clouds,Walking / Photography
7.0,92.0,8.5,Rain,Indoor Games / Movies
-5.0,72.0,6.0,Snow,Indoor Activities
30.0,56.0,2.5,Clear,Outdoor Sports
18.0,74.0,3.5,Clouds,Light Outdoor Activity
6.0,87.0,7.5,Drizzle,Walking / Indoor Games
-4.0,70.0,8.0,Snow,Indoor Activities
25.0,66.0,3.0,Clear,Walking / Cycling / Outdoor Sports
13.0,82.0,5.0,Rain,Indoor Activities
1.0,79.0,4.5,Snow,Indoor Activities
31.0,52.0,2.0,Clear,Outdoor Sports
20.0,73.0,4.0,Clouds,Light Outdoor Activity
10.0,89.0,7.0,Rain,Indoor Games / Movies
-2.0,74.0,6.5,Snow,Indoor Activities
27.0,61.0,3.5,Clear,Walking / Cycling / Outdoor Sports
16.0,78.0,3.0,Clouds,Walking / Photography
5.0,90.0,8.0,Drizzle,Walking / Indoor Games
-7.0,67.0,7.0,Snow,Indoor Activities
29.0,59.0,2.0,Clear,Outdoor Sports
19.0,72.0,4.5,Clouds,Light Outdoor Activity
8.0,85.0,6.0,Rain,Indoor Activities
0.0,77.0,5.0,Snow,Indoor Activities
23.0,64.0,3.0,Clear,Walking / Cycling / Outdoor Sports
12.0,80.0,4.0,Clouds,Walking / Photography
4.0,92.0,8.5,Rain,Indoor Games / Movies
-3.0,71.0,6.0,Snow,Indoor Activities
28.0,58.0,2.5,Clear,Outdoor Sports
17.0,73.0,3.5,Clouds,Light Outdoor Activity
7.0,88.0,7.5,Drizzle,Walking / Indoor Games
-6.0,69.0,8.0,Snow,Indoor Activities
